episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
2220,126.1,-0.6,-1.0,-1,1,"[18912, 40355, 27851, 33607, 21044, 3806]"
2230,136.4,-0.8,-1.0,-1,1,"[19060, 40818, 28142, 33872, 21240, 3807]"
2240,103.8,-0.4,-1.0,-1,1,"[19155, 41167, 28356, 34068, 21421, 3810]"
2250,160.2,-0.2,-1.0,-1,1,"[19329, 41776, 28634, 34355, 21672, 3813]"
2260,138.1,-0.6,-1.0,-1,1,"[19490, 42255, 28878, 34620, 21903, 3814]"
2270,112.9,-0.8,-1.0,-1,1,"[19609, 42694, 29087, 34783, 22099, 3817]"
2280,114.9,-1.0,-1.0,-1,-1,"[19732, 43133, 29287, 34992, 22270, 3824]"
2290,107.2,-0.2,-1.0,-1,1,"[19847, 43588, 29457, 35176, 22417, 3825]"
2300,143.8,-0.8,-1.0,-1,1,"[20001, 44189, 29668, 35420, 22644, 3826]"
2310,126.6,0.2,1.0,-1,1,"[20144, 44669, 29890, 35642, 22840, 3829]"
2320,107.6,-0.6,-1.0,-1,1,"[20267, 45089, 30038, 35844, 23021, 3831]"
2330,127.8,-0.6,-1.0,-1,1,"[20438, 45554, 30257, 36091, 23192, 3836]"
2340,134.3,-0.8,-1.0,-1,1,"[20582, 46061, 30498, 36347, 23384, 3839]"
2350,82.7,0.2,1.0,-1,1,"[20674, 46396, 30636, 36482, 23508, 3842]"
2360,138.3,-0.2,-1.0,-1,1,"[20815, 46978, 30876, 36716, 23692, 3844]"
2370,196.4,-0.4,-1.0,-1,1,"[21012, 47780, 31226, 37074, 23948, 3845]"
2380,136.9,-0.2,-1.0,-1,1,"[21163, 48370, 31435, 37311, 24127, 3848]"
2390,172.4,-0.4,-1.0,-1,1,"[21362, 49059, 31710, 37620, 24375, 3852]"
2400,130.4,-0.8,-1.0,-1,1,"[21511, 49603, 31915, 37827, 24571, 3855]"
2410,143.5,-1.0,-1.0,-1,-1,"[21686, 50190, 32168, 38055, 24761, 3857]"
2420,118.6,-0.4,-1.0,-1,1,"[21830, 50644, 32391, 38249, 24930, 3859]"
2430,137.9,-0.8,-1.0,-1,1,"[21986, 51167, 32633, 38506, 25129, 3861]"
2440,152.3,-0.8,-1.0,-1,1,"[22174, 51732, 32895, 38776, 25366, 3862]"
2450,112.2,-0.4,-1.0,-1,1,"[22302, 52200, 33073, 38948, 25540, 3864]"
2460,85.3,-0.4,-1.0,-1,1,"[22404, 52513, 33214, 39101, 25682, 3866]"
2470,155.5,-0.8,-1.0,-1,1,"[22601, 53140, 33505, 39349, 25872, 3868]"
2480,152.5,-0.6,-1.0,-1,1,"[22766, 53761, 33817, 39578, 26069, 3869]"
2490,153.0,0.0,0.0,-1,1,"[22951, 54383, 34096, 39793, 26294, 3873]"
2500,163.8,-0.8,-1.0,-1,1,"[23134, 55076, 34382, 40040, 26520, 3876]"
2510,113.2,-0.4,-1.0,-1,1,"[23275, 55496, 34567, 40236, 26706, 3880]"
2520,122.9,-0.4,-1.0,-1,1,"[23417, 56007, 34772, 40405, 26904, 3884]"
2530,97.8,-0.6,-1.0,-1,1,"[23537, 56405, 34935, 40559, 27042, 3889]"
2540,99.8,-0.8,-1.0,-1,1,"[23652, 56822, 35078, 40719, 27200, 3894]"
2550,131.0,-0.4,-1.0,-1,1,"[23798, 57368, 35317, 40907, 27389, 3896]"
2560,185.5,-0.6,-1.0,-1,1,"[24003, 58115, 35626, 41177, 27713, 3896]"
2570,117.5,-0.6,-1.0,-1,1,"[24112, 58651, 35822, 41335, 27886, 3899]"
2580,113.6,-0.4,-1.0,-1,1,"[24247, 59152, 35999, 41485, 28057, 3901]"
2590,142.8,-0.6,-1.0,-1,1,"[24433, 59776, 36216, 41680, 28260, 3904]"
2600,139.5,-0.4,-1.0,-1,1,"[24637, 60336, 36462, 41866, 28459, 3904]"
2610,105.9,-0.6,-1.0,-1,1,"[24780, 60763, 36630, 42023, 28620, 3907]"
2620,162.8,-0.4,-1.0,-1,1,"[24982, 61475, 36873, 42243, 28871, 3907]"
2630,121.3,-0.2,-1.0,-1,1,"[25150, 62002, 37049, 42379, 29076, 3908]"
2640,187.9,-0.6,-1.0,-1,1,"[25404, 62786, 37347, 42622, 29371, 3913]"
2650,183.3,-0.4,-1.0,-1,1,"[25622, 63554, 37645, 42883, 29655, 3917]"
2660,137.2,-0.2,-1.0,-1,1,"[25800, 64134, 37828, 43082, 29884, 3920]"
2670,146.7,-0.6,-1.0,-1,1,"[25994, 64724, 38028, 43330, 30116, 3923]"
2680,147.7,-0.2,-1.0,-1,1,"[26173, 65309, 38244, 43561, 30381, 3924]"
2690,120.2,-0.4,-1.0,-1,1,"[26349, 65792, 38419, 43724, 30584, 3926]"
2700,156.1,-0.6,-1.0,-1,1,"[26556, 66419, 38677, 43951, 30824, 3928]"
2710,149.6,-0.4,-1.0,-1,1,"[26796, 66974, 38922, 44194, 31035, 3930]"
2720,187.3,-0.6,-1.0,-1,1,"[27047, 67714, 39210, 44471, 31350, 3932]"
2730,173.6,0.0,0.0,-1,1,"[27289, 68373, 39480, 44745, 31638, 3935]"
2740,169.1,-0.4,-1.0,-1,1,"[27529, 69040, 39767, 44982, 31898, 3935]"
2750,134.8,-0.6,-1.0,-1,1,"[27702, 69538, 39995, 45170, 32155, 3939]"
2760,232.6,-0.2,-1.0,-1,1,"[27997, 70456, 40393, 45536, 32503, 3940]"
2770,114.3,-0.2,-1.0,-1,1,"[28133, 70929, 40547, 45722, 32697, 3940]"
2780,150.9,-0.4,-1.0,-1,1,"[28307, 71524, 40770, 45969, 32967, 3940]"
2790,161.5,0.0,0.0,-1,1,"[28496, 72178, 41003, 46250, 33224, 3941]"
2800,103.1,-0.4,-1.0,-1,1,"[28636, 72612, 41141, 46406, 33384, 3944]"
2810,165.6,-0.4,-1.0,-1,1,"[28841, 73290, 41374, 46667, 33662, 3945]"
2820,174.1,-0.4,-1.0,-1,1,"[29013, 74026, 41671, 46926, 33938, 3946]"
2830,140.8,-0.6,-1.0,-1,1,"[29168, 74627, 41879, 47146, 34161, 3947]"
2840,140.4,-0.2,-1.0,-1,1,"[29314, 75265, 42102, 47336, 34368, 3947]"
2850,172.0,-0.2,-1.0,-1,1,"[29498, 76015, 42385, 47569, 34637, 3948]"
