episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
25500, 24.8, -1.0, -1.0, -1, -1, 0.1575492341356674, 0.16411378555798686, 0.18599562363238512, 0.17067833698030635, 0.1838074398249453, 0.13785557986870897
25520, 29.8, -0.8, -1.0, -1, 1, 0.19393939393939394, 0.17373737373737375, 0.20404040404040405, 0.1414141414141414, 0.1595959595959596, 0.12727272727272726
25540, 28.4, -1.0, -1.0, -1, -1, 0.16271186440677965, 0.19322033898305085, 0.21016949152542372, 0.17796610169491525, 0.14576271186440679, 0.11016949152542373
25560, 27.4, -1.0, -1.0, -1, -1, 0.13468634686346864, 0.1937269372693727, 0.1974169741697417, 0.16605166051660517, 0.17896678966789667, 0.12915129151291513
25580, 36.3, -1.0, -1.0, -1, -1, 0.1171003717472119, 0.1449814126394052, 0.19888475836431227, 0.2137546468401487, 0.1821561338289963, 0.14312267657992564
25600, 23.5, -1.0, -1.0, -1, -1, 0.1494661921708185, 0.16903914590747332, 0.2117437722419929, 0.16725978647686832, 0.18327402135231316, 0.11921708185053381
25620, 18.9, -1.0, -1.0, -1, -1, 0.15113350125944586, 0.17632241813602015, 0.23929471032745592, 0.18387909319899245, 0.1309823677581864, 0.11838790931989925
25640, 25.3, -1.0, -1.0, -1, -1, 0.16563146997929606, 0.17805383022774326, 0.19254658385093168, 0.16977225672877846, 0.17598343685300208, 0.11801242236024845
25660, 39.9, -1.0, -1.0, -1, -1, 0.18136439267886856, 0.16472545757071547, 0.16472545757071547, 0.19633943427620631, 0.17803660565723795, 0.11480865224625623
25680, 38.8, -1.0, -1.0, -1, -1, 0.14768683274021352, 0.17259786476868327, 0.199288256227758, 0.19395017793594305, 0.14768683274021352, 0.1387900355871886
25700, 24.4, -1.0, -1.0, -1, -1, 0.15591397849462366, 0.17921146953405018, 0.22580645161290322, 0.1827956989247312, 0.16129032258064516, 0.09498207885304659
25720, 25.5, -1.0, -1.0, -1, -1, 0.1396761133603239, 0.1902834008097166, 0.17813765182186234, 0.20242914979757085, 0.1680161943319838, 0.1214574898785425
25740, 20.2, -1.0, -1.0, -1, -1, 0.16335540838852097, 0.17439293598233996, 0.2163355408388521, 0.16777041942604856, 0.13024282560706402, 0.1479028697571744
25760, 28.2, -0.8, -1.0, -1, 1, 0.15311909262759923, 0.23251417769376181, 0.17013232514177692, 0.166351606805293, 0.1720226843100189, 0.10586011342155009
25780, 29.7, -1.0, -1.0, -1, -1, 0.16607773851590105, 0.1696113074204947, 0.19081272084805653, 0.17667844522968199, 0.16431095406360424, 0.13250883392226148
