episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
15320, 191.1, 0.2, 1.0, -1, 1, 0.6222283813747228, 0.08342572062084257, 0.16685144124168513, 0.01385809312638581, 0.11363636363636363, 0.0
15340, 186.9, -0.2, -1.0, -1, 1, 0.6012045037968055, 0.08588635768525792, 0.18800733176224144, 0.012568735271013355, 0.11233307148468186, 0.0
15360, 226.3, -0.2, -1.0, -1, 1, 0.59500693481276, 0.0840499306518724, 0.18862690707350901, 0.014701803051317614, 0.11761442441054092, 0.0
15380, 137.1, -0.2, -1.0, -1, 1, 0.5446768060836502, 0.09759188846641319, 0.21546261089987326, 0.016159695817490494, 0.12610899873257286, 0.0
15400, 161.8, 0.0, 0.0, -1, 1, 0.5584811529933481, 0.08813747228381374, 0.21147450110864746, 0.014412416851441241, 0.12749445676274945, 0.0
15420, 204.8, -0.2, -1.0, -1, 1, 0.5720233139050791, 0.09464335276158757, 0.20649458784346378, 0.014709963918956424, 0.11212878157091313, 0.0
15440, 159.1, -0.2, -1.0, -1, 1, 0.6018262313226342, 0.08577753182069729, 0.19230769230769232, 0.011898173768677366, 0.10819037078029883, 0.0
15460, 228.1, 0.0, 0.0, -1, 1, 0.57006603081438, 0.09611151870873075, 0.2115431645879188, 0.016385424309122036, 0.10589386157984837, 0.0
15480, 134.8, -0.2, -1.0, -1, 1, 0.5786369593709043, 0.0973132372214941, 0.19921363040629095, 0.013761467889908258, 0.11107470511140236, 0.0
15500, 150.2, 0.6, 1.0, -1, 1, 0.5789473684210527, 0.09084008097165992, 0.20318825910931174, 0.019230769230769232, 0.10779352226720648, 0.0
15520, 182.9, 0.0, 0.0, -1, 1, 0.5628504672897197, 0.09813084112149532, 0.2189252336448598, 0.02219626168224299, 0.09789719626168224, 0.0
15540, 248.2, 0.0, 0.0, -1, 1, 0.5760525675346799, 0.09637381357994645, 0.19956193721100024, 0.01849598442443417, 0.10951569724993916, 0.0
15560, 145.9, -0.2, -1.0, -1, 1, 0.6025833583658756, 0.0892159807750075, 0.18594172424151398, 0.021027335536197057, 0.10123160108140583, 0.0
15580, 237.8, -0.6, -1.0, -1, 1, 0.6149732620320856, 0.07995925642984467, 0.17417876241405653, 0.01858925388337153, 0.11229946524064172, 0.0
15600, 174.9, -0.6, -1.0, -1, 1, 0.6069807037457434, 0.09137343927355278, 0.18615209988649262, 0.01532349602724177, 0.10017026106696936, 0.0
15620, 162.1, -0.2, -1.0, -1, 1, 0.6015625, 0.10317887931034483, 0.16244612068965517, 0.01993534482758621, 0.1128771551724138, 0.0
15640, 137.4, -0.2, -1.0, -1, 1, 0.5739130434782609, 0.09955022488755622, 0.1724137931034483, 0.023388305847076463, 0.13073463268365818, 0.0
15660, 226.3, 0.0, 0.0, -1, 1, 0.5976744186046512, 0.08581395348837209, 0.17930232558139536, 0.01744186046511628, 0.11976744186046512, 0.0
15680, 176.9, 0.2, 1.0, -1, 1, 0.6046977943282728, 0.08536236035519908, 0.16270409624749355, 0.02492122600973933, 0.12202807218562016, 0.0002864508736751647
